trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999939076577904}",20,0,-109.11249440038767,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999756307053947}",25,0,-169.3361345556658,"{0: 12, 1: 6, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9999451693655121}",25,0,-143.56795193579086,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9999025240093042}",30,0,-229.36334368130437,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.9998476951563913}",25,0,-145.60431638977226,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9997806834748455}",20,0,-183.85224877295957,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9997014897811831}",20,0,-43.94499182774873,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9996101150403544}",20,0,-73.88958733200181,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9995065603657316}",25,0,-64.38133258352576,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9993908270190958}",20,4,-64.32315477198576,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.9992629164106211}",35,11,-105.10386868466449,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.9991228300988584}",20,3,-126.3996027049521,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.9989705697907147}",30,0,-87.21561052565907,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9988061373414341}",20,0,-41.269107544380205,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9986295347545738}",25,10,-61.730318161914234,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.998440764181981}",20,0,-80.21354993678267,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9982398279237653}",20,0,-109.55000654792245,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9980267284282716}",35,0,-266.32153900594125,"{0: 19, 1: 5, 2: 4, 3: 3, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.99780146829205}",20,12,-36.2524828140023,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.9975640502598242}",20,0,-160.58625158161678,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9973144772244581}",20,0,-84.54131577733688,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9970527522269202}",20,0,-66.66788188993948,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9967788784562471}",20,0,-111.77297307459803,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9964928592495044}",25,0,-88.13893478552409,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9961946980917455}",20,0,-167.32118052344367,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9958843986159703}",20,0,-112.10195658177155,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.99556196460308}",20,0,-25.879988393695445,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9952273999818312}",20,0,-61.78254756022685,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9948807088287882}",25,0,-59.57538242250532,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9945218953682733}",20,2,-125.64756000342756,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 2}",1
31,False,"{'a': 0.5, 'e': 0.9941509639723154}",25,0,-80.66154421267032,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9937679191605964}",25,0,-249.59446464382737,"{0: 10, 1: 1, 2: 8, 3: 3, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.9933727656003964}",25,0,-87.26652837657439,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9929655081065369}",20,0,-60.73365100926561,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.992546151641322}",20,0,-76.60693458810746,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9921147013144779}",20,0,-116.43670674815888,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9916711623830904}",25,0,-164.69697798623764,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9912155402515417}",25,0,-164.5498875967445,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.9907478404714436}",30,0,-84.02193674056281,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.9902680687415704}",30,0,-145.89588622973324,"{0: 17, 1: 7, 2: 3, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.989776230907789}",30,0,-87.0565607824919,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9892723329629883}",20,0,-64.62559243920087,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9887563810470058}",25,10,-31.639541385984177,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.9882283814465528}",20,0,-73.0349898272433,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9876883405951378}",20,0,-96.20925031266582,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9871362650729879}",20,0,-155.81767266547843,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9865721616069694}",20,0,-93.29519948244737,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.985996037070505}",20,0,-112.43865161990772,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9854078984834901}",25,0,-70.70319809596577,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.984807753012208}",20,0,-51.519733238609064,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9841956079692419}",20,13,10.675649809585336,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.9835714708133859}",25,0,-175.92597920071282,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.9829353491495543}",25,0,-71.57861069279252,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.9822872507286887}",25,0,-158.16269693630744,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.981627183447664}",25,0,-83.29397524543671,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9809551553491915}",20,8,-86.21461796240801,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
57,False,"{'a': 0.5, 'e': 0.9802711746217219}",30,0,-101.9660167799339,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9795752495993441}",30,0,-91.09639320003839,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.978867388761685}",20,0,-114.47308229185874,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9781476007338057}",30,0,-102.33028703713079,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9774158942860959}",20,0,-74.34153030190963,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9766722783341679}",30,0,-64.37730600199343,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9759167619387474}",20,0,-55.556232208617246,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9751493543055633}",20,0,-33.95349098332525,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9743700647852352}",30,0,-114.74994288011362,"{0: 16, 1: 5, 2: 8, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.9735789028731603}",20,0,-80.15305766055359,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.9727758782093966}",20,0,-120.97239106039748,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.9719610005785463}",20,0,-64.06848962970767,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.9711342799096361}",35,0,-247.45018589522422,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 5}",0
70,False,"{'a': 0.5, 'e': 0.9702957262759965}",20,5,-71.26891421460208,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.9694453498951389}",30,0,-218.11674872480745,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
72,False,"{'a': 0.5, 'e': 0.9685831611286311}",25,16,7.080587609043243,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.9677091704819712}",30,21,-38.653132572120626,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.9668233886044594}",20,0,-39.87308126995358,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.9659258262890683}",20,8,-142.41569395510174,"{0: 4, 1: 0, 2: 5, 3: 1, 4: 2}",1
76,False,"{'a': 0.5, 'e': 0.9650164944723114}",25,0,-139.11588077578546,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.9640954042341101}",25,0,-159.2557150014614,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.9631625667976581}",20,0,-82.19043573141897,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.9622179935292854}",20,0,-94.90173517663413,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
